ID_Cliente,Cancelamento,Genero,Idoso,Parceiro,Dependentes,Meses_de_Contrato,Servico_Telefone,Linhas_Multiplas,Tipo_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivos,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Fatura_Digital,Forma_Pagamento,Valor_Mensal,Valor_Total,Faixa_Tempo
0002-ORFBO,0,Female,0,1,1,9.0,1,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,65.6,593.3,0-12
0003-MKNFE,0,Male,0,0,0,9.0,1,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.4,0-12
0004-TLHLJ,1,Male,0,0,0,4.0,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.85,0-12
0011-IGKFF,1,Male,1,1,0,13.0,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,13-24
0013-EXCHZ,1,Female,1,1,0,3.0,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.4,0-12
0013-MHZWF,0,Female,0,0,1,9.0,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.45,0-12
0013-SMEOE,0,Female,1,1,0,71.0,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.25,61-72
0014-BMAQU,0,Male,0,1,0,63.0,1,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.8,61-72
0015-UOCOJ,0,Female,1,0,0,7.0,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.35,0-12
0016-QLJIS,0,Female,0,1,1,65.0,1,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,90.45,5957.9,61-72
0017-DINOC,0,Male,0,0,0,54.0,0,no phone service,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.55,49-60
0017-IUDMW,0,Female,0,1,1,72.0,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.75,61-72
0018-NYROU,0,Female,0,1,0,5.0,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,0-12
0019-EFAEP,0,Female,0,0,0,72.0,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,61-72
0019-GFNTW,0,Female,0,0,0,56.0,0,no phone service,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,49-60
0020-INWCK,0,Female,0,1,1,71.0,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,61-72
0020-JDNXP,0,Female,0,1,1,34.0,0,no phone service,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993.2,25-36
0021-IKXGC,0,Female,1,0,0,1.0,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,0-12
0022-TCJCI,1,Male,1,0,0,45.0,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,37-48
0023-HGHWL,1,Male,1,0,0,1.0,0,no phone service,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,0-12
0023-UYUPN,0,Female,1,1,0,50.0,1,1,No,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,0,Electronic check,25.2,1306.3,49-60
0023-XUOPT,1,Female,0,1,0,13.0,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,13-24
0027-KWYKW,0,Female,0,1,1,23.0,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,13-24
0030-FNXPP,0,Female,0,0,0,3.0,1,0,No,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,0,Mailed check,19.85,57.2,0-12
0031-PVLZI,1,Female,0,1,1,4.0,1,0,No,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,0,Mailed check,20.35,76.35,0-12
0032-PGELS,1,Female,0,1,1,1.0,0,no phone service,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,0-12
0036-IHMOT,0,Female,0,1,1,55.0,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,49-60
0040-HALCW,0,Male,0,1,1,54.0,1,0,No,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,0,Credit card (automatic),20.4,1090.6,49-60
0042-JVWOJ,0,Male,0,0,0,26.0,1,0,No,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,1,Bank transfer (automatic),19.6,471.85,25-36
0042-RLHYP,0,Female,0,1,1,69.0,1,0,No,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,0,Bank transfer (automatic),19.7,1396.9,61-72
0047-ZHDTW,0,Female,0,0,0,11.0,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.0,929.3,0-12
0048-LUMLS,0,Male,0,1,1,37.0,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,37-48
